u,W
0.01,4.0379
0.011,3.9436
0.012,3.8576
0.013,3.778
0.014,3.7054
0.015,3.6374
0.016,3.5739
0.017,3.5143
0.018,3.4581
0.019,3.405
0.02,3.3547
0.021,3.3069
0.022,3.2614
0.023,3.2179
0.024,3.1763
0.025,3.1365
0.026,3.0983
0.027,3.0615
0.028,3.0261
0.029,2.992
0.03,2.9591
0.031,2.9273
0.032,2.8965
0.033,2.8668
0.034,2.8379
0.035,2.8099
0.036,2.7827
0.037,2.7563
0.038,2.7306
0.039,2.7056
0.04,2.6813
0.041,2.6576
0.042,2.6344
0.043,2.6119
0.044,2.5899
0.045,2.5684
0.046,2.5474
0.047,2.5268
0.048,2.5068
0.049,2.4871
0.05,2.4679
0.051,2.4491
0.052,2.4306
0.053,2.4126
0.054,2.3948
0.055,2.3775
0.056,2.3604
0.057,2.3437
0.058,2.3273
0.059,2.3111
0.06,2.2953
0.061,2.2797
0.062,2.2645
0.063,2.2494
0.064,2.2346
0.065,2.2201
0.066,2.2058
0.067,2.1917
0.068,2.1779
0.069,2.1643
0.07,2.1508
0.071,2.1376
0.072,2.1246
0.073,2.1118
0.074,2.0991
0.075,2.0867
0.076,2.0744
0.077,2.0623
0.078,2.0503
0.079,2.0386
0.08,2.02027
0.081,2.0155
0.082,2.0042
0.083,1.993
0.084,1.982
0.085,1.9711
0.086,1.9604
0.087,1.9498
0.088,1.9393
0.089,1.929
0.09,1.9187
0.091,1.9087
0.092,1.8987
0.093,1.8888
0.094,1.8791
0.095,1.8695
0.096,1.8599
0.097,1.8505
0.098,1.8412
0.099,1.832
0.1,1.8229
0.11,1.7371
0.12,1.6595
0.13,1.5889
0.14,1.5241
0.15,1.4645
0.16,1.4092
0.17,1.3578
0.18,1.3089
0.19,1.2649
0.2,1.2227
0.21,1.1829
0.22,1.1454
0.23,1.1099
0.24,1.0762
0.25,1.0443
0.26,1.01014
0.27,0.9849
0.28,0.9573
0.29,0.9309
0.3,0.9057
0.31,0.8815
0.32,0.8583
0.33,0.8361
0.34,0.8147
0.35,0.7942
0.36,0.7745
0.37,0.7554
0.38,0.7371
0.39,0.7194
0.4,0.7024
0.41,0.6859
0.42,0.67
0.43,0.6546
0.44,0.6397
0.45,0.6253
0.46,0.6114
0.47,0.5979
0.48,0.5848
0.49,0.5721
0.5,0.5598
0.51,0.5478
0.52,0.5362
0.53,0.525
0.54,0.514
0.55,0.5034
0.56,0.493
0.57,0.483
0.58,0.473
0.59,0.4637
0.6,0.4544
0.61,0.4454
0.62,0.4366
0.63,0.428
0.64,0.4197
0.65,0.4115
0.66,0.4036
0.67,0.3959
0.68,0.3883
0.69,0.381
0.7,0.3738
0.71,0.3668
0.72,0.3599
0.73,0.3532
0.74,0.3467
0.75,0.3403
0.76,0.3341
0.77,0.328
0.78,0.3221
0.79,0.3163
0.8,0.3106
0.81,0.305
0.82,0.2996
0.83,0.2943
0.84,0.2891
0.85,0.284
0.86,0.279
0.87,0.2742
0.88,0.2694
0.89,0.2647
0.9,0.2602
0.91,0.2557
0.92,0.2513
0.93,0.247
0.94,0.2429
0.95,0.2387
0.96,0.2347
0.97,0.2308
0.98,0.2269
0.99,0.2231
1,0.2194
1.1,0.186
1.2,0.1584
1.3,0.1355
1.4,0.1162
1.5,0.1
1.6,0.08631
1.7,0.07465
1.8,0.06471
1.9,0.0562
2,0.0489
2.1,0.04621
2.2,0.03719
2.3,0.0325
2.4,0.02844
2.5,0.02491
2.6,0.02185
2.7,0.01918
2.8,0.01686
2.9,0.01482
3,0.01305
3.1,0.01149
3.2,0.01013
3.3,0.008939
3.4,0.007891
3.5,0.00697
3.6,0.00616
3.7,0.005448
3.8,0.00482
3.9,0.004267
4,0.003779
4.1,0.003349
4.2,0.002969
4.3,0.002633
4.4,0.002336
4.5,0.002073
4.6,0.001841
4.7,0.001635
4.8,0.001453
4.9,0.001291
5,0.001148
5.1,0.001021
5.2,0.0009086
5.3,0.0008086
5.4,0.0007198
5.5,0.0006409
5.6,0.0005708
5.7,0.0005085
5.8,0.0004532
5.9,0.0004039
